contender,scenario,seed_band,n_episodes,episode_length,p50,p95,p99,mean_lat,sla_pct,shed_pct,reward,hhi
candidate_mono_seed0,heterogeneous,30000-30039,40,128,30.831489183803033,767.6209465277403,1217.9589694529789,107.87428243735243,9.8046875,3.51825831959489,-1.1213915714216114,0.24089490544157596
candidate_mono_seed0,heterogeneous,31000-31039,40,128,31.22032032229039,793.1172105427245,1180.6901223978502,131.62888623140748,13.4765625,5.795309769863123,-1.4609715621733734,0.2535944813202496
candidate_mono_seed0,heterogeneous,32000-32039,40,128,31.266359235368128,1095.3335432176232,1393.357624729647,178.042208671382,16.97265625,7.058313511231791,-1.9008477843090028,0.2610724105954979
candidate_mono_seed0,heterogeneous,33000-33039,40,128,29.77183093518066,1016.4593050087088,1180.086012121159,140.75533900812326,13.41796875,6.067776649155556,-1.5488941043491309,0.26412339498393467
candidate_mono_seed0,heterogeneous,34000-34039,40,128,30.346965619030605,857.5383064096171,1278.724900504856,137.23053581836623,13.6328125,5.904335065147424,-1.514942916029126,0.25244886956610724
candidate_mono_seed1,heterogeneous,30000-30039,40,128,30.83098654892527,643.8293488186637,1217.9589694529789,105.91272055364713,9.6484375,3.21245541691857,-1.09575347505528,0.24058793443421322
candidate_mono_seed1,heterogeneous,31000-31039,40,128,31.286943548480497,805.3868357658757,1180.6901223978502,131.1396433097425,13.398437499999998,5.700647676277683,-1.4541363810530004,0.25357949030687726
candidate_mono_seed1,heterogeneous,32000-32039,40,128,31.26132606908231,1141.9249732080166,1459.750018843581,185.23341383464518,18.06640625,7.33384008497736,-1.9659236790058388,0.2625191514800246
candidate_mono_seed1,heterogeneous,33000-33039,40,128,29.7299131076565,949.4097285020922,1180.086012121159,135.2474387212005,12.890625,5.803354654813191,-1.4906030989243377,0.2621581509360783
candidate_mono_seed1,heterogeneous,34000-34039,40,128,30.281831246336367,857.5383064096173,1278.724900504856,141.5884540340499,14.35546875,5.897844012011368,-1.5615691420979658,0.2534248917343732
candidate_mono_seed2,heterogeneous,30000-30039,40,128,30.831349213969997,757.0442636480491,1217.9589694529789,111.46531396547805,10.83984375,3.2567290149418753,-1.155914116502747,0.24692377588831488
candidate_mono_seed2,heterogeneous,31000-31039,40,128,31.002985814393252,793.1172105427244,1180.6901223978502,121.89997707993166,11.81640625,4.796343382883526,-1.33457842008987,0.257397447980351
candidate_mono_seed2,heterogeneous,32000-32039,40,128,31.257138061423536,1141.9249732080166,1269.1336990332277,159.31493469543506,14.667968749999998,6.161289706636834,-1.6945643617709352,0.2672139569983048
candidate_mono_seed2,heterogeneous,33000-33039,40,128,29.211217175518314,949.4097285020922,1180.086012121159,132.69630719982447,12.578125000000002,5.422393332685544,-1.4423510683919054,0.2690822291376758
candidate_mono_seed2,heterogeneous,34000-34039,40,128,30.040556646361534,857.5383064096171,1278.724900504856,122.3992565477644,11.5234375,4.6043156147621485,-1.325229739168329,0.25369172605999085
candidate_mono_seed3,heterogeneous,30000-30039,40,128,30.831283947981785,476.0669208799764,1049.718347183961,79.79581855123085,6.34765625,1.7480255545214838,-0.832884427845789,0.2324470340635827
